#path1 #000000
Reaction coordinate,Free Energy (eV),Reaction coordinate,Free Energy (eV),Tag name
0.0,0.0,0.0,0.0,S
4.0,121.0,4.0,121.0,IM2
4.0,121.0,8.0,74.5,IM2
8.0,74.5,12.0,102.2,IM2
8.0,74.5,16.0,-23.9,P
12.0,102.2,,,
12.0,102.2,,,
16.0,-23.9,,,
##################################################
#path2 #FF0000
Reaction coordinate,Free Energy (eV),Reaction coordinate,Free Energy (eV),Tag name
0.0,0.0,0.0,0.0,S
4.0,141.0,4.0,141.0,IM2
4.0,141.0,8.0,64.5,IM2
8.0,64.5,12.0,122.2,TS4
8.0,64.50000000000023,16.0,-23.9,P
8.010025062656641,64.501085488012,,,
8.020050125313283,64.50433468518168,,,
8.030075187969924,64.50973669121072,,,
8.040100250626566,64.51728060580263,,,
8.050125313283209,64.52695552865794,,,
8.06015037593985,64.53875055947879,,,
8.070175438596491,64.55265479796776,,,
8.080200501253133,64.56865734382677,,,
8.090225563909774,64.58674729675681,,,
8.100250626566416,64.60691375646138,,,
8.110275689223057,64.62914582264148,,,
8.1203007518797,64.65343259499923,,,
8.130325814536342,64.67976317323655,,,
8.140350877192983,64.70812665705557,,,
8.150375939849624,64.7385121461582,,,
8.160401002506266,64.77090874024611,,,
8.170426065162907,64.80530553902236,,,
8.180451127819548,64.84169164218747,,,
8.19047619047619,64.8800561494445,,,
8.200501253132831,64.92038816049444,,,
8.210526315789474,64.96267677504011,,,
8.220551378446116,65.00691109278387,,,
8.230576441102757,65.05308021342603,,,
8.240601503759398,65.10117323667055,,,
8.25062656641604,65.15117926221842,,,
8.260651629072681,65.2030873897711,,,
8.270676691729323,65.25688671903094,,,
8.280701754385966,65.31256634970032,,,
8.290726817042607,65.37011538148113,,,
8.300751879699249,65.42952291407482,,,
8.31077694235589,65.490778047184,,,
8.320802005012531,65.553869880511,,,
8.330827067669173,65.61878751375616,,,
8.340852130325814,65.6855200466232,,,
8.350877192982455,65.75405657881242,,,
8.360902255639097,65.82438621002802,,,
8.37092731829574,65.89649803996963,,,
8.380952380952381,65.97038116834074,,,
8.390977443609023,66.04602469484257,,,
8.401002506265664,66.12341771917772,,,
8.411027568922306,66.20254934104787,,,
8.421052631578947,66.28340866015492,,,
8.431077694235588,66.36598477620078,,,
8.441102756892231,66.45026678888757,,,
8.451127819548873,66.53624379791768,,,
8.461152882205514,66.62390490299208,,,
8.471177944862156,66.71323920381315,,,
8.481203007518797,66.80423580008346,,,
8.491228070175438,66.8968837915047,,,
8.50125313283208,66.99117227777788,,,
8.511278195488721,67.08709035860647,,,
8.521303258145362,67.18462713369149,,,
8.531328320802006,67.28377170273552,,,
8.541353383458647,67.38451316544024,,,
8.551378446115288,67.4868406215071,,,
8.56140350877193,67.59074317063869,,,
8.571428571428571,67.69620991253714,,,
8.581453634085213,67.80322994690368,,,
8.591478696741854,67.91179237344113,,,
8.601503759398497,68.0218862918507,,,
8.611528822055138,68.13350080183545,,,
8.62155388471178,68.24662500309569,,,
8.631578947368421,68.36124799533536,,,
8.641604010025063,68.47735887825434,,,
8.651629072681704,68.59494675155656,,,
8.661654135338345,68.71400071494259,,,
8.671679197994987,68.83450986811545,,,
8.681704260651628,68.9564633107766,,,
8.691729323308271,69.07985014262772,,,
8.701754385964913,69.20465946337117,,,
8.711779448621554,69.3308803727084,,,
8.721804511278195,69.4585019703427,,,
8.731829573934837,69.5875133559748,,,
8.741854636591478,69.71790362930687,,,
8.75187969924812,69.84966189004149,,,
8.761904761904763,69.98277723787987,,,
8.771929824561404,70.11723877252416,,,
8.781954887218046,70.25303559367694,,,
8.791979949874687,70.39015680103967,,,
8.802005012531328,70.52859149431424,,,
8.81203007518797,70.6683287732028,,,
8.822055137844611,70.80935773740725,,,
8.832080200501252,70.95166748662973,,,
8.842105263157894,71.09524712057191,,,
8.852130325814537,71.24008573893616,,,
8.862155388471178,71.38617244142438,,,
8.87218045112782,71.5334963277387,,,
8.882205513784461,71.6820464975799,,,
8.892230576441102,71.83181205065148,,,
8.902255639097744,71.98278208665488,,,
8.912280701754385,72.13494570529178,,,
8.922305764411028,72.28829200626478,,,
8.93233082706767,72.44281008927442,,,
8.942355889724311,72.59848905402532,,,
8.952380952380953,72.75531800021622,,,
8.962406015037594,72.91328602755175,,,
8.972431077694235,73.07238223573222,,,
8.982456140350877,73.23259572446136,,,
8.992481203007518,73.39391559343835,,,
9.00250626566416,73.55633094236828,,,
9.012531328320803,73.71983087095077,,,
9.022556390977444,73.88440447889002,,,
9.032581453634085,74.0500408658852,,,
9.042606516290727,74.2167291316407,,,
9.052631578947368,74.38445837585664,,,
9.06265664160401,74.55321769823718,,,
9.072681704260651,74.72299619848218,,,
9.082706766917294,74.89378297629446,,,
9.092731829573935,75.06556713137638,,,
9.102756892230577,75.23833776342963,,,
9.112781954887218,75.41208397215587,,,
9.12280701754386,75.58679485725725,,,
9.132832080200501,75.76245951843634,,,
9.142857142857142,75.93906705539462,,,
9.152882205513784,76.11660656783283,,,
9.162907268170425,76.29506715545563,,,
9.172932330827068,76.47443791796263,,,
9.18295739348371,76.65470795505644,,,
9.192982456140351,76.83586636643963,,,
9.203007518796992,77.01790225181412,,,
9.213032581453634,77.20080471088113,,,
9.223057644110275,77.38456284334393,,,
9.233082706766917,77.56916574890283,,,
9.24310776942356,77.75460252726043,,,
9.253132832080201,77.94086227812,,,
9.263157894736842,78.12793410118093,,,
9.273182957393484,78.31580709614832,,,
9.283208020050125,78.5044703627218,,,
9.293233082706767,78.69391300060397,,,
9.303258145363408,78.88412410949695,,,
9.31328320802005,79.07509278910265,,,
9.32330827067669,79.26680813912276,,,
9.333333333333334,79.45925925926008,,,
9.343358395989975,79.65243524921539,,,
9.353383458646617,79.84632520869218,,,
9.363408521303258,80.04091823739077,,,
9.3734335839599,80.23620343501489,,,
9.38345864661654,80.43216990126416,,,
9.393483709273182,80.62880673584323,,,
9.403508771929825,80.82610303845217,,,
9.413533834586467,81.02404790879473,,,
9.423558897243108,81.22263044657007,,,
9.43358395989975,81.42183975148305,,,
9.443609022556391,81.62166492323308,,,
9.453634085213032,81.82209506152526,,,
9.463659147869674,82.02311926605807,,,
9.473684210526315,82.22472663653662,,,
9.483709273182956,82.42690627266052,,,
9.4937343358396,82.62964727413328,,,
9.503759398496241,82.83293874065612,,,
9.513784461152882,83.03676977193118,,,
9.523809523809524,83.24112946766081,,,
9.533834586466165,83.44600692754602,,,
9.543859649122806,83.6513912512894,,,
9.553884711779448,83.85727153859352,,,
9.563909774436091,84.06363688915985,,,
9.573934837092732,84.27047640268938,,,
9.583959899749374,84.47777917888538,,,
9.593984962406015,84.68553431744954,,,
9.604010025062657,84.89373091808352,,,
9.614035087719298,85.10235808048992,,,
9.62406015037594,85.31140490436974,,,
9.63408521303258,85.52086048942556,,,
9.644110275689222,85.73071393535952,,,
9.654135338345865,85.94095434187261,,,
9.664160401002507,86.15157080866902,,,
9.674185463659148,86.36255243544792,,,
9.68421052631579,86.57388832191373,,,
9.69423558897243,86.7855675677663,,,
9.704260651629072,86.99757927270957,,,
9.714285714285714,87.20991253644388,,,
9.724310776942357,87.42255645867226,,,
9.734335839598998,87.63550013909594,,,
9.74436090225564,87.84873267741773,,,
9.75438596491228,88.06224317333863,,,
9.764411027568922,88.27602072656214,,,
9.774436090225564,88.49005443678743,,,
9.784461152882205,88.70433340372006,,,
9.794486215538846,88.91884672705896,,,
9.804511278195488,89.13358350650901,,,
9.814536340852131,89.34853284176916,,,
9.824561403508772,89.56368383254289,,,
9.834586466165414,89.7790255785319,,,
9.844611528822055,89.99454717943945,,,
9.854636591478696,90.2102377349654,,,
9.864661654135338,90.42608634481371,,,
9.87468671679198,90.64208210868355,,,
9.884711779448622,90.85821412628002,,,
9.894736842105264,91.07447149730342,,,
9.904761904761905,91.29084332145612,,,
9.914786967418546,91.50731869844049,,,
9.924812030075188,91.7238867279575,,,
9.93483709273183,91.94053650971,,,
9.94486215538847,92.15725714339919,,,
9.954887218045112,92.37403772872813,,,
9.964912280701753,92.59086736539803,,,
9.974937343358397,92.80773515311125,,,
9.984962406015038,93.02463019156858,,,
9.99498746867168,93.24154158047418,,,
10.00501253132832,93.45845841952791,,,
10.015037593984962,93.67536980843283,,,
10.025062656641603,93.89226484689061,,,
10.035087719298247,94.10913263460407,,,
10.045112781954888,94.32596227127283,,,
10.05513784461153,94.54274285660222,,,
10.06516290726817,94.75946349029141,,,
10.075187969924812,94.97611327204436,,,
10.085213032581454,95.19268130156092,,,
10.095238095238095,95.40915667854529,,,
10.105263157894736,95.62552850269753,,,
10.115288220551378,95.84178587372185,,,
10.125313283208019,96.05791789131717,,,
10.13533834586466,96.27391365518906,,,
10.145363408521304,96.48976226503578,,,
10.155388471177945,96.70545282056287,,,
10.165413533834586,96.92097442146905,,,
10.175438596491228,97.13631616745897,,,
10.185463659147869,97.3514671582318,,,
10.195488721804512,97.56641649349308,,,
10.205513784461154,97.78115327294199,,,
10.215538847117795,97.99566659628135,,,
10.225563909774436,98.20994556321352,,,
10.235588972431078,98.4239792734395,,,
10.24561403508772,98.63775682666255,,,
10.25563909774436,98.85126732258391,,,
10.265664160401002,99.0644998609057,,,
10.275689223057643,99.27744354133006,,,
10.285714285714285,99.49008746355776,,,
10.295739348370926,99.70242072729275,,,
10.30576441102757,99.91443243223512,,,
10.31578947368421,100.12611167808791,,,
10.325814536340852,100.33744756455326,,,
10.335839598997493,100.54842919133239,,,
10.345864661654135,100.75904565812812,,,
10.355889724310778,100.96928606464166,,,
10.36591478696742,101.1791395105763,,,
10.37593984962406,101.38859509563167,,,
10.385964912280702,101.59764191951217,,,
10.395989974937343,101.80626908191743,,,
10.406015037593985,102.01446568255187,,,
10.416040100250626,102.22222082111625,,,
10.426065162907268,102.42952359731203,,,
10.436090225563909,102.63636311084224,,,
10.44611528822055,102.84272846140811,,,
10.456140350877192,103.04860874871156,,,
10.466165413533835,103.25399307245539,,,
10.476190476190476,103.45887053234037,,,
10.486215538847118,103.66323022807069,,,
10.496240601503759,103.86706125934438,,,
10.5062656641604,104.07035272586836,,,
10.516290726817044,104.27309372734044,,,
10.526315789473685,104.4752733634648,,,
10.536340852130326,104.67688073394243,,,
10.546365914786968,104.87790493847683,,,
